Timestamp,Actual_Solar_MW,Predicted_Solar_MW,Actual_Wind_MW,Predicted_Wind_MW,Actual_Residential_Load_MW,Predicted_Residential_Load_MW,Actual_Commercial_Load_MW,Predicted_Commercial_Load_MW,Actual_Industrial_Load_MW,Predicted_Industrial_Load_MW,Actual_Critical_Load_MW,Predicted_Critical_Load_MW,Actual_Net_Load_MW,Predicted_Net_Load_MW
2020-08-13 04:00:00,0.0,-0.003307685663709417,0.302783,0.30187392437025906,0.6279320000000002,0.6464757882540823,0.08627199999999999,0.09413259757347404,0.387249,0.366686983190164,0.402084,0.40043591215014457,1.200754,1.2091650424613154
2020-08-13 05:00:00,0.0,-0.006626509682564065,0.305083,0.30746010207590463,0.802576,0.8624244400139899,0.171025,0.1602015972614661,0.7678469999999998,0.743156967171073,0.395835,0.40025064914062614,1.8321999999999996,1.8652000611938142
2020-08-13 06:00:00,0.0,-0.007045663171252236,0.666306,0.34402453581959014,1.149964,1.181543823810786,0.335189,0.33670582118442655,0.996426,1.0168097702557743,0.397531,0.3999862612814009,2.2128039999999998,2.59806680388405
2020-08-13 07:00:00,0.178638,0.15236851794227957,0.657919,0.4801129848067165,1.3539839999999999,1.3582641072767974,0.598417,0.5938774727365076,1.145298,1.1452387791651488,0.397627,0.39954140016677975,2.6587689999999995,2.8644402565962377
2020-08-13 08:00:00,0.32247,0.3271200917905569,0.301041,0.5483861647329927,1.38139,1.1879013816046715,0.782365,0.7650914393555521,1.273296,1.2570367172139885,0.401298,0.39946435871130226,3.2148380000000003,2.733987640361965
2020-08-13 09:00:00,0.42698699999999995,0.4346872420978546,0.8,0.5842672899869085,1.022664,0.9922160202844441,0.852564,0.8363224418339729,1.294842,1.2629548106384278,0.396857,0.3992322224105298,2.3399399999999995,2.4717709630826112
2020-08-13 10:00:00,0.607504,0.5422763619750738,0.671924,0.6742583553605677,0.833033,0.9042562055182457,0.852276,0.8375173946601152,1.290051,1.2690667511314155,0.40063,0.399458108528614,2.0965620000000005,2.1937637425027496
2020-08-13 11:00:00,0.579555,0.6038623142570257,0.633878,0.689816767628193,0.853853,0.8468034286401719,0.805076,0.8450902831543684,1.273968,1.2595338896980286,0.398002,0.39943053075209256,2.117466,2.057179050359443
2020-08-13 12:00:00,0.675038,0.6168391254848242,0.569501,0.6994026660578252,0.886837,0.8592711310448796,0.838172,0.844162697382629,1.275929,1.2579596979591847,0.401347,0.399591589441657,2.157746,2.044743324285701
2020-08-13 13:00:00,0.592734,0.5849935223186016,0.8,0.6901431093448998,0.785147,0.9130952440491915,0.8533660000000001,0.8474211186049581,1.259232,1.259210107515216,0.398837,0.3996409073856473,1.903848,2.1442307458915115
2020-08-13 14:00:00,0.563432,0.5123705739927292,0.8,0.6611453898861409,1.002849,1.0536504283838868,0.857038,0.8088194698866009,1.321398,1.2614523998932838,0.402988,0.3996178104461729,2.220841,2.350024144731074
2020-08-13 15:00:00,0.465619,0.40945550235271455,0.593151,0.6425104732859135,1.244337,1.2415509109729528,0.772686,0.748507844274342,1.280868,1.2663720849508049,0.405236,0.3997569914437234,2.644357,2.604221856003195
2020-08-13 16:00:00,0.324849,0.2869040157750249,0.8,0.6088276085312964,1.240998,1.390018292272389,0.659619,0.68227153441298,1.255011,1.2512892475954296,0.39823,0.4000474925456941,2.4290089999999998,2.827894942520172
2020-08-13 17:00:00,0.176838,0.13399881103634834,0.8,0.5450719150881768,1.487359,1.5538397374899389,0.59216,0.5724160908554197,1.154822,1.1614584048244954,0.393545,0.4002973264080882,2.6510480000000003,3.008940833453417
2020-08-13 18:00:00,0.0,-0.011499493153681978,0.65808,0.5054586721084119,1.694339,1.731015967210293,0.430384,0.4105011858432889,1.034347,0.9952108884442151,0.399911,0.4004917584048211,2.9009009999999997,3.0432606209478883
2020-08-13 19:00:00,0.0,-0.011697639690041542,0.566159,0.4543553358509541,1.513148,1.5865996548762917,0.248498,0.23886935927656294,0.727921,0.7628381544804872,0.399613,0.4008797572252154,2.3230210000000002,2.5465292296976445
2020-08-13 20:00:00,0.0,-0.002227475765598938,0.231304,0.39082404012525085,1.353444,1.394014338656366,0.173243,0.1677678617258668,0.503238,0.47955201576399803,0.395018,0.4004742250516116,2.1936389999999997,2.05321187683819
2020-08-13 21:00:00,0.0,0.0036548682422284035,0.636317,0.39161136218911413,1.156228,1.2052659053256511,0.084953,0.0933992850213498,0.381038,0.356913636235103,0.401832,0.40075891625469917,1.387734,1.6610715124054607
2020-08-13 22:00:00,0.0,0.002536971803912893,0.646774,0.37916142802211644,1.03716,1.0466800848540365,0.084875,0.09078478756120056,0.24472,0.2503460423639119,0.404755,0.39988699011212586,1.1247360000000002,1.4059995050652454
2020-08-13 23:00:00,0.0,0.005348392984354869,0.211046,0.3533099273370803,0.859208,0.8472296338073909,0.085899,0.07695454131858796,0.249937,0.22765797034046056,0.406453,0.3994144024071097,1.3904509999999999,1.192598227552114
2020-08-14 00:00:00,0.0,0.0035378324741218237,0.8,0.5644903866610528,0.749513,0.6815308413506225,0.087809,0.07792937375486643,0.273083,0.23505429160842303,0.398211,0.40065155371591443,0.7086159999999999,0.8271378412946517
2020-08-14 01:00:00,0.0,0.007601519140088931,0.8,0.7552718842821122,0.512435,0.5085532083219588,0.08625,0.0842369221810326,0.254399,0.23634320667745176,0.398802,0.40019530577421186,0.4518859999999998,0.46645523953245394
2020-08-14 02:00:00,0.0,0.005655744599187747,0.8,0.7917563487252594,0.52585,0.4986178322932273,0.084043,0.09944601128282399,0.264593,0.25063274649667,0.406619,0.39998476082703466,0.4811050000000001,0.4512692575753088
2020-08-14 03:00:00,0.0,0.007284867148110643,0.8,0.8000491117076874,0.538896,0.5048299508321286,0.089505,0.08762153235915303,0.261542,0.24450047365336122,0.401668,0.39972364995193477,0.491611,0.42934162794077957
